uri,jazz,rb,rock,country,dance,hh,classical,pop,ed,speed,vol,valence,instru
6nipZlJiUvI0I7lCf1Z7Li,0.0,0.0,0.78,0.0,0.15,0.0,0.0,0.14,0.0,0.5,0.78,0.0,0.71
7tVYedjMc62HAxf10SbncH,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.59,0.0,0.88,0.32,0.26,0.5
0hCB0YR03f6AmQaHbwWDe8,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.05,0.0,0.63,0.38,0.37,0.33
7ytR5pFWmSjzHJIeQkgog4,0.0,0.09,0.0,0.0,0.19,1.0,0.0,0.46,0.0,0.64,0.5,0.62,0.09
2imAA5ofcn4dCRVNjKyEq3,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.06,0.0,0.32,0.61,0.37,0.04
1zTLGwLbuOJeTMPsknMNDc,0.62,0.75,0.0,0.0,0.21,0.14,0.0,0.1,0.0,0.5,0.5,0.72,0.07
3kwgqoBqTwoAH4nT29TYrq,0.0,0.10000000000000002,0.0,0.0,0.07,0.13,0.0,0.9,0.12,0.76,0.7699999999999999,0.82,0.0
2aSM4sbNN7cSmpYOG0sf46,0.0,0.25,0.0,0.0,0.05,1.0,0.0,0.09,0.0,0.63,0.72,0.22,0.0
7wfDCDfhVe2tFxIkQEJp35,0.13,0.83,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.35,0.55,0.36,0.0
6EDO9iiTtwNv6waLwa1UUq,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.61,0.0,0.0
2fZTS0VboxRpF0FdfY7E5P,0.0,0.16,0.0,0.0,0.0,1.0,0.0,0.15,0.22000000000000003,0.63,0.6,0.0,0.0
170lW4ylGoFGh2i3V4Nxo4,0.0,0.09,1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.48,0.68,0.57,0.14
4o6ZuLYr04LqFQNiSGVK4u,0.0,0.23999999999999996,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.26,0.35,0.61,0.0
3Ho0uOyCz245GWUqlWrkf5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.83,0.92,0.05,0.0
3vAn0qZzdyuHamcrpkfiX3,0.0,0.10000000000000002,0.09,0.0,0.7600000000000001,0.65,0.0,0.89,0.09,0.63,0.75,0.13,0.13
7Acvy2L38SCipAeMPOK8Ro,0.17,0.85,0.05,0.0,0.0,0.0,0.0,0.63,0.0,0.37,0.92,0.58,0.0
5mTL8ZHcB2LJdlrR78xJYr,0.0,0.20999999999999996,0.0,0.86,0.0,0.12,0.0,0.4099999999999999,0.0,0.37000000000000005,0.63,0.1,0.08
3DA4SE262k6rdEtlHteNyq,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.31,0.37,0.34,0.23
4R2kfaDFhslZEMJqAFNpdd,0.07999999999999999,0.22999999999999998,0.0,0.16,0.0,0.0,0.12,0.68,0.0,0.17,0.35,0.3,0.28
0PvFJmanyNQMseIFrU708S,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.9,0.0,0.16
3nS9a01VvXHQriLqJYwRqG,0.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.62,0.64,0.09,0.07
3GYlQmwfBDo7imFyGPhrl7,0.0,0.15,0.0,0.0,0.64,0.26,0.0,0.73,0.87,0.6,0.52,0.65,0.29
4vYauy3ABO65vTXggGYaZg,0.77,0.71,0.0,0.10999999999999999,0.0,0.0,0.0,0.22,0.0,0.38,0.39,0.59,0.25
0kPeZAyIhIfeZNrtfjJGDB,0.08,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.29,0.79,0.45
6lUXneXZ9jc3HSMHgd8oqh,0.68,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.15,0.69,0.24
2kAgCRZPG3YQR2VMqRvLmb,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.05,0.62,1.0
3qRXuJ58B2wcNNMk5yyAMn,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.27,0.0,0.53,0.97,0.37,0.21
39l1UORIhuHvUWfxG53tRZ,0.61,0.16,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.19,0.14,0.75,0.58
6O4FoKdYi42CFjfd0MM04n,0.54,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.19,0.31,0.22
0HBEM5CMp4Yg3Ne7orJzBX,0.15,0.36,0.0,0.0,0.0,0.12,0.0,0.18,0.0,0.17,0.67,0.59,0.29
7Ce11Oh1kConF6UlkBWnaZ,0.0,0.13,0.05000000000000001,1.0,0.0,0.0,0.0,0.09,0.0,0.32,0.39,0.72,0.31
7lRlq939cDG4SzWOF4VAnd,0.0,0.0,1.0,0.28,0.0,0.0,0.0,0.0,0.0,0.61,0.97,0.0,0.41
1Gw2MVjOeA29OIwt4k7PZ4,0.0,0.0,0.0,0.0,0.91,0.23,0.0,0.86,0.72,0.63,0.41,0.81,0.04
4gwltSjdrzKtKz9dlk2Wja,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.42999999999999994,0.28,0.65,0.0
3pskfPInvz8nsloyEzUnFL,0.65,0.7700000000000001,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.32,0.35,0.62,0.17
5E1aFH3QO8NHlocnXIPTYo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49,0.0,0.42,0.31,0.33,0.0
7aBjTHXRcZed06n0rWgyLu,0.18,0.03,0.67,0.76,0.0,0.04,0.0,0.0,0.0,0.4,0.39,0.66,0.08
0a7BloCiNzLDD9qSQHh5m7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.9199999999999999,0.05,0.09
6SpLc7EXZIPpy0sVko0aoU,0.0,0.0,0.69,0.0,0.15,0.0,0.0,0.78,0.0,0.72,0.73,0.15,0.1
4XsH9zBWPOCdXoH9ZDdS8r,0.63,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.31,0.14,0.21
3XnvNOjFKyFyNvxlXy1DXm,0.0,0.19,0.0,0.0,0.69,0.14,0.0,0.2,0.31,0.82,0.6,0.4,0.36
0H2VhGUC3P3hvwz8rdGIpC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23999999999999996,0.11,0.53,1.0
6cx06DFPPHchuUAcTxznu9,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.77,0.71,0.8,0.96,0.74,0.24
2yiISACbYnL2hApy1ffKKs,0.61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.08,0.75,1.0
419qlOGNXoyICx4jO0hqaj,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41,0.24,0.85,1.0
6cr6UDpkjEaMQ80OjWqEBQ,0.14,0.66,0.19,0.79,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.7299999999999999,1.0
0fF0HtZGSXZgGrC6b7Pq4I,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.37,0.72,0.2
08mG3Y1vljYA6bvDt4Wqkj,0.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.35,0.66,0.06,0.12
0P8lbWigAHXPKxUG60xh79,0.0,0.0,0.01,0.0,0.61,0.1,0.0,0.9,0.82,0.63,1.0,0.16,0.0
4TIJ7zSBNejpoIPaWpWRKc,0.0,0.0,0.9,0.15,0.0,0.0,0.0,0.0,0.0,0.66,0.75,0.07,0.12
5T490vvoFNU6psep0NPmxs,0.0,0.38,0.0,0.0,0.77,0.13,0.0,0.7300000000000001,0.0,0.6,0.61,0.5,0.0
1upQiytDIEZfl9ItruoXuC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.6,1.0
5xfYZuMVGuyh9L0LcVWjzE,0.0,0.0,0.91,0.34,0.0,0.0,0.0,0.0,0.0,0.38,0.88,0.25,0.44
14EXZEog1hW97d6yz8ejih,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.94,0.0,0.0
1y8EEqXNbi7LtBpPLMPRui,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05442622950819671,0.6143406593406594,0.9298395721925132,0.025906735751295335,0.0
3ZsexY07D4t4HRq7ogeSAS,0.0,0.0,0.72,0.0,0.28,0.0,0.0,0.59,0.0,0.83,0.9199999999999999,0.66,0.0
1bRjwdtScY2eMe9uMmsOkG,0.0,0.83,0.0,0.0,0.15,0.78,0.0,0.66,0.0,0.84,0.7,0.53,0.0
3fnqNxjN7o0tJe7zOQZV68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.85,0.06,0.0
46LXErxjs0JgFiaUshrSBI,0.08,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.43999999999999995,0.68,0.27
5Wwr2S7QZTR5PVJn6jhgdk,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.68,0.7200000000000001,0.20000000000000004
6UelLqGlWMcVH1E5c4H7lY,0.20999999999999996,0.59,0.21,0.0,0.1,0.0,0.0,0.76,0.0,0.55,0.68,0.82,0.09
09iYuaPCCgMDGb2vprvzp5,0.0,0.0,0.18,0.0,0.4331578947368421,0.21,0.0,0.6908139534883722,0.18942857142857145,0.7197076023391814,0.8404347826086956,0.335207100591716,0.10885245901639344
5f5j72fj7bZkfqSdeSWLyf,0.0,0.29,0.6,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.16,0.22,0.6,0.32
6xDpjffkQ4daA6AiR7F15m,0.0,0.0,1.0,0.0,0.0,0.66,0.0,0.0,0.0,0.5500000000000002,0.87,0.0,0.16
3Be7CLdHZpyzsVijme39cW,0.0,0.16955882352941176,0.0,0.0,0.4341447368421053,0.0,0.0,0.9212371134020618,0.455,0.5414772727272728,0.6272727272727273,0.4478787878787879,0.14818681318681318
4SFBV7SRNG2e2kyL1F6kjU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21,0.27,0.62,1.0
4bPQs0PHn4xbipzdPfn6du,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.66,0.27,0.0
2wOlZrHUpRP9hQbqbV9Ae5,1.0,0.14887700534759357,0.005,0.0,0.0,0.0,0.41437500000000005,0.0,0.0,0.1537837837837838,0.17596774193548387,0.6481865284974092,1.0
